Plate,Col,Row,Compound,Compound Name,SMILES,Formula,Molecular Weight,LogP,LogSW,Rotatable Bonds,Hdon,Hacc,tPSA,Salt Form,Form,Stereochemistry,Price group,Structure
1,8,F,27134606,,,,,,,,,,,,,,,
1,9,F,17804476,,,,,,,,,,,,,,,
1,10,F,11165868,,,,,,,,,,,,,,,
1,11,F,16020735,,,,,,,,,,,,,,,
1,12,F,57844233,,,,,,,,,,,,,,,
1,13,F,39859622,,,,,,,,,,,,,,,
1,14,F,43548528,,,,,,,,,,,,,,,
1,15,F,42205635,,,,,,,,,,,,,,,
1,16,F,87655145,,,,,,,,,,,,,,,
1,17,F,10681528,,,,,,,,,,,,,,,
1,18,F,22735442,,,,,,,,,,,,,,,
1,19,F,78180111,,,,,,,,,,,,,,,
1,20,F,54283696,,,,,,,,,,,,,,,
1,21,F,11611444,,,,,,,,,,,,,,,
1,22,F,47171827,,,,,,,,,,,,,,,
1,23,F,62877103,,,,,,,,,,,,,,,
1,24,F,38865943,,,,,,,,,,,,,,,
1,25,F,83088477,,,,,,,,,,,,,,,
1,26,F,20044659,,,,,,,,,,,,,,,
1,27,F,78022016,,,,,,,,,,,,,,,
1,28,F,14567481,,,,,,,,,,,,,,,
1,29,F,80219499,,,,,,,,,,,,,,,
1,30,F,71028985,,,,,,,,,,,,,,,
1,31,F,78151401,,,,,,,,,,,,,,,
1,32,F,55331709,,,,,,,,,,,,,,,
1,33,F,10515103,,,,,,,,,,,,,,,
1,34,F,32741712,,,,,,,,,,,,,,,
1,35,F,65457410,,,,,,,,,,,,,,,
1,36,F,95713845,,,,,,,,,,,,,,,
1,37,F,13859685,,,,,,,,,,,,,,,
1,38,F,37904755,,,,,,,,,,,,,,,
1,39,F,58015638,,,,,,,,,,,,,,,
1,40,F,91789539,,,,,,,,,,,,,,,
1,41,F,19463070,,,,,,,,,,,,,,,
1,42,F,40488949,,,,,,,,,,,,,,,
1,43,F,20240687,,,,,,,,,,,,,,,
1,44,F,11065926,,,,,,,,,,,,,,,
1,45,F,DMSO,,,,,,,,,,,,,,,
1,46,F,DMSO,,,,,,,,,,,,,,,
1,47,F,DMSO,,,,,,,,,,,,,,,
1,48,F,DMSO,,,,,,,,,,,,,,,
1,1,G,DMSO,,,,,,,,,,,,,,,
1,2,G,DMSO,,,,,,,,,,,,,,,
1,3,G,DMSO,,,,,,,,,,,,,,,
1,4,G,DMSO,,,,,,,,,,,,,,,
1,5,G,13983923,,,,,,,,,,,,,,,
1,6,G,56814403,,,,,,,,,,,,,,,
1,7,G,44142565,,,,,,,,,,,,,,,
1,8,G,81991160,,,,,,,,,,,,,,,
1,9,G,14830301,,,,,,,,,,,,,,,
1,10,G,98551922,,,,,,,,,,,,,,,
1,11,G,98704611,,,,,,,,,,,,,,,
1,12,G,68775690,,,,,,,,,,,,,,,
1,13,G,71156021,,,,,,,,,,,,,,,
1,14,G,23134982,,,,,,,,,,,,,,,
1,15,G,12584838,,,,,,,,,,,,,,,
1,16,G,17020035,,,,,,,,,,,,,,,
1,17,G,14726880,,,,,,,,,,,,,,,
1,18,G,51926816,,,,,,,,,,,,,,,
1,19,G,70267651,,,,,,,,,,,,,,,
1,20,G,40892430,,,,,,,,,,,,,,,
1,21,G,29858744,,,,,,,,,,,,,,,
1,22,G,47134958,,,,,,,,,,,,,,,
1,23,G,78850191,,,,,,,,,,,,,,,
1,24,G,66691581,,,,,,,,,,,,,,,
1,25,G,12429817,,,,,,,,,,,,,,,
1,26,G,32899562,,,,,,,,,,,,,,,
1,27,G,53406526,,,,,,,,,,,,,,,
1,28,G,11369809,,,,,,,,,,,,,,,
1,29,G,51984658,,,,,,,,,,,,,,,
1,30,G,57945708,,,,,,,,,,,,,,,
1,31,G,16338892,,,,,,,,,,,,,,,
1,32,G,31163843,,,,,,,,,,,,,,,
1,33,G,63904418,,,,,,,,,,,,,,,
1,34,G,78762060,,,,,,,,,,,,,,,
1,35,G,14350963,,,,,,,,,,,,,,,
1,36,G,44756394,,,,,,,,,,,,,,,
1,37,G,25915199,,,,,,,,,,,,,,,
1,38,G,84123201,,,,,,,,,,,,,,,
1,39,G,41090671,,,,,,,,,,,,,,,
1,40,G,49985664,,,,,,,,,,,,,,,
1,41,G,26117873,,,,,,,,,,,,,,,
1,42,G,22366229,,,,,,,,,,,,,,,
1,43,G,23945817,,,,,,,,,,,,,,,
1,44,G,12199467,,,,,,,,,,,,,,,
1,45,G,DMSO,,,,,,,,,,,,,,,
1,46,G,DMSO,,,,,,,,,,,,,,,
1,47,G,DMSO,,,,,,,,,,,,,,,
1,48,G,DMSO,,,,,,,,,,,,,,,
1,1,H,DMSO,,,,,,,,,,,,,,,
1,2,H,DMSO,,,,,,,,,,,,,,,
1,3,H,DMSO,,,,,,,,,,,,,,,
1,4,H,DMSO,,,,,,,,,,,,,,,
1,5,H,73630002,,,,,,,,,,,,,,,
1,6,H,96271857,,,,,,,,,,,,,,,
1,7,H,43516093,,,,,,,,,,,,,,,
1,8,H,34311521,,,,,,,,,,,,,,,
1,9,H,27716788,,,,,,,,,,,,,,,
1,10,H,69958807,,,,,,,,,,,,,,,
1,11,H,16927895,,,,,,,,,,,,,,,
1,12,H,41225695,,,,,,,,,,,,,,,
1,13,H,27082531,,,,,,,,,,,,,,,
1,14,H,20664757,,,,,,,,,,,,,,,
1,15,H,94388244,,,,,,,,,,,,,,,
1,16,H,32699582,,,,,,,,,,,,,,,
1,17,H,35649058,,,,,,,,,,,,,,,
1,18,H,12762060,,,,,,,,,,,,,,,
1,19,H,79987012,,,,,,,,,,,,,,,
1,20,H,25765297,,,,,,,,,,,,,,,
1,21,H,27013463,,,,,,,,,,,,,,,
1,22,H,84161146,,,,,,,,,,,,,,,
1,23,H,67662906,,,,,,,,,,,,,,,
1,24,H,17819467,,,,,,,,,,,,,,,
1,25,H,40127214,,,,,,,,,,,,,,,
1,26,H,93544996,,,,,,,,,,,,,,,
1,27,H,74138890,,,,,,,,,,,,,,,
1,28,H,23397564,,,,,,,,,,,,,,,
1,29,H,39492814,,,,,,,,,,,,,,,
1,30,H,31256076,,,,,,,,,,,,,,,
1,31,H,33547375,,,,,,,,,,,,,,,
1,32,H,16095630,,,,,,,,,,,,,,,
1,33,H,91419152,,,,,,,,,,,,,,,
1,34,H,27544996,,,,,,,,,,,,,,,
1,35,H,86122080,,,,,,,,,,,,,,,
1,36,H,77710543,,,,,,,,,,,,,,,
1,37,H,11497444,,,,,,,,,,,,,,,
1,38,H,34939551,,,,,,,,,,,,,,,
1,39,H,29202692,,,,,,,,,,,,,,,
1,40,H,40772759,,,,,,,,,,,,,,,
1,41,H,38361437,,,,,,,,,,,,,,,
1,42,H,65816322,,,,,,,,,,,,,,,
1,43,H,52716760,,,,,,,,,,,,,,,
1,44,H,68524403,,,,,,,,,,,,,,,
1,45,H,DMSO,,,,,,,,,,,,,,,
1,46,H,DMSO,,,,,,,,,,,,,,,
1,47,H,DMSO,,,,,,,,,,,,,,,
1,48,H,DMSO,,,,,,,,,,,,,,,
1,1,I,DMSO,,,,,,,,,,,,,,,
1,2,I,DMSO,,,,,,,,,,,,,,,
1,3,I,DMSO,,,,,,,,,,,,,,,
1,4,I,DMSO,,,,,,,,,,,,,,,
1,5,I,76605693,,,,,,,,,,,,,,,
1,6,I,30251211,,,,,,,,,,,,,,,
1,7,I,21979525,,,,,,,,,,,,,,,
1,8,I,80613431,,,,,,,,,,,,,,,
1,9,I,16096522,,,,,,,,,,,,,,,
1,10,I,24836758,,,,,,,,,,,,,,,
1,11,I,25827060,,,,,,,,,,,,,,,
1,12,I,89394008,,,,,,,,,,,,,,,
1,13,I,93396494,,,,,,,,,,,,,,,
1,14,I,59211559,,,,,,,,,,,,,,,
1,15,I,95120405,,,,,,,,,,,,,,,
1,16,I,27292977,,,,,,,,,,,,,,,
1,17,I,17212223,,,,,,,,,,,,,,,
1,18,I,23319758,,,,,,,,,,,,,,,
1,19,I,13509384,,,,,,,,,,,,,,,
1,20,I,56589465,,,,,,,,,,,,,,,
1,21,I,97580355,,,,,,,,,,,,,,,
1,22,I,83572985,,,,,,,,,,,,,,,
1,23,I,55703499,,,,,,,,,,,,,,,
1,24,I,16601666,,,,,,,,,,,,,,,
1,25,I,69528326,,,,,,,,,,,,,,,
1,26,I,67032444,,,,,,,,,,,,,,,
1,27,I,61700228,,,,,,,,,,,,,,,
1,28,I,12688376,,,,,,,,,,,,,,,
1,29,I,24432236,,,,,,,,,,,,,,,
1,30,I,12625121,,,,,,,,,,,,,,,
1,31,I,86367533,,,,,,,,,,,,,,,
1,32,I,14863798,,,,,,,,,,,,,,,
1,33,I,52106065,,,,,,,,,,,,,,,
1,34,I,74741348,,,,,,,,,,,,,,,
1,35,I,23578065,,,,,,,,,,,,,,,
1,36,I,45175628,,,,,,,,,,,,,,,
1,37,I,22237631,,,,,,,,,,,,,,,
1,38,I,68873879,,,,,,,,,,,,,,,
1,39,I,25989218,,,,,,,,,,,,,,,
1,40,I,73940115,,,,,,,,,,,,,,,
1,41,I,91434328,,,,,,,,,,,,,,,
1,42,I,59093739,,,,,,,,,,,,,,,
1,43,I,31022444,,,,,,,,,,,,,,,
1,44,I,63161364,,,,,,,,,,,,,,,
1,45,I,DMSO,,,,,,,,,,,,,,,
1,46,I,DMSO,,,,,,,,,,,,,,,
1,47,I,DMSO,,,,,,,,,,,,,,,
1,48,I,DMSO,,,,,,,,,,,,,,,
1,1,J,DMSO,,,,,,,,,,,,,,,
1,2,J,DMSO,,,,,,,,,,,,,,,
1,3,J,DMSO,,,,,,,,,,,,,,,
1,4,J,DMSO,,,,,,,,,,,,,,,
1,5,J,43664344,,,,,,,,,,,,,,,
1,6,J,14262921,,,,,,,,,,,,,,,
1,7,J,74036488,,,,,,,,,,,,,,,
1,8,J,83567428,,,,,,,,,,,,,,,
1,9,J,50230619,,,,,,,,,,,,,,,
1,10,J,39493605,,,,,,,,,,,,,,,
1,11,J,10324527,,,,,,,,,,,,,,,
1,12,J,55519488,,,,,,,,,,,,,,,
1,13,J,56115560,,,,,,,,,,,,,,,
1,14,J,47635161,,,,,,,,,,,,,,,
1,15,J,21455499,,,,,,,,,,,,,,,
1,16,J,76337641,,,,,,,,,,,,,,,
1,17,J,52494789,,,,,,,,,,,,,,,
1,18,J,12282291,,,,,,,,,,,,,,,
1,19,J,73163112,,,,,,,,,,,,,,,
1,20,J,18504619,,,,,,,,,,,,,,,
1,21,J,94835688,,,,,,,,,,,,,,,
1,22,J,54214526,,,,,,,,,,,,,,,
1,23,J,22149797,,,,,,,,,,,,,,,
1,24,J,95638385,,,,,,,,,,,,,,,
1,25,J,42394347,,,,,,,,,,,,,,,
1,26,J,12244291,,,,,,,,,,,,,,,
1,27,J,24338396,,,,,,,,,,,,,,,
1,28,J,59105751,,,,,,,,,,,,,,,
1,29,J,14525557,,,,,,,,,,,,,,,
1,30,J,99504787,,,,,,,,,,,,,,,
1,31,J,14972364,,,,,,,,,,,,,,,
1,32,J,62495989,,,,,,,,,,,,,,,
1,33,J,16991179,,,,,,,,,,,,,,,
1,34,J,32498282,,,,,,,,,,,,,,,
1,35,J,35085836,,,,,,,,,,,,,,,
1,36,J,30529076,,,,,,,,,,,,,,,
1,37,J,40782092,,,,,,,,,,,,,,,
1,38,J,12784975,,,,,,,,,,,,,,,
1,39,J,63564168,,,,,,,,,,,,,,,
1,40,J,67251577,,,,,,,,,,,,,,,
1,41,J,15136575,,,,,,,,,,,,,,,
1,42,J,21264288,,,,,,,,,,,,,,,
1,43,J,17179311,,,,,,,,,,,,,,,
1,44,J,79206450,,,,,,,,,,,,,,,
1,45,J,DMSO,,,,,,,,,,,,,,,
1,46,J,DMSO,,,,,,,,,,,,,,,
1,47,J,DMSO,,,,,,,,,,,,,,,
1,48,J,DMSO,,,,,,,,,,,,,,,
1,1,K,DMSO,,,,,,,,,,,,,,,
1,2,K,DMSO,,,,,,,,,,,,,,,
1,3,K,DMSO,,,,,,,,,,,,,,,
1,4,K,DMSO,,,,,,,,,,,,,,,
1,5,K,91937771,,,,,,,,,,,,,,,
1,6,K,45576334,,,,,,,,,,,,,,,
1,7,K,38864586,,,,,,,,,,,,,,,
1,8,K,17303527,,,,,,,,,,,,,,,
1,9,K,10046652,,,,,,,,,,,,,,,
1,10,K,42258256,,,,,,,,,,,,,,,
1,11,K,97189105,,,,,,,,,,,,,,,
1,12,K,55024268,,,,,,,,,,,,,,,
1,13,K,10023894,,,,,,,,,,,,,,,
1,14,K,90154591,,,,,,,,,,,,,,,
1,15,K,17730447,,,,,,,,,,,,,,,
1,16,K,44031616,,,,,,,,,,,,,,,
1,17,K,24675257,,,,,,,,,,,,,,,
1,18,K,95494318,,,,,,,,,,,,,,,
1,19,K,31081841,,,,,,,,,,,,,,,
1,20,K,85730043,,,,,,,,,,,,,,,
1,21,K,61893391,,,,,,,,,,,,,,,
1,22,K,53150977,,,,,,,,,,,,,,,
1,23,K,65480457,,,,,,,,,,,,,,,
1,24,K,30796074,,,,,,,,,,,,,,,
1,25,K,96849099,,,,,,,,,,,,,,,
1,26,K,26714121,,,,,,,,,,,,,,,
1,27,K,24179204,,,,,,,,,,,,,,,
1,28,K,16808555,,,,,,,,,,,,,,,
1,29,K,48867043,,,,,,,,,,,,,,,
1,30,K,54847865,,,,,,,,,,,,,,,
1,31,K,31275814,,,,,,,,,,,,,,,
1,32,K,70842828,,,,,,,,,,,,,,,
1,33,K,46608667,,,,,,,,,,,,,,,
1,34,K,51852516,,,,,,,,,,,,,,,
1,35,K,91595807,,,,,,,,,,,,,,,
1,36,K,41407844,,,,,,,,,,,,,,,
1,37,K,92851781,,,,,,,,,,,,,,,
1,38,K,62167167,,,,,,,,,,,,,,,
1,39,K,24707902,,,,,,,,,,,,,,,
1,40,K,32868591,,,,,,,,,,,,,,,
1,41,K,40903535,,,,,,,,,,,,,,,
1,42,K,66843361,,,,,,,,,,,,,,,
1,43,K,78608551,,,,,,,,,,,,,,,
1,44,K,20960503,,,,,,,,,,,,,,,
1,45,K,DMSO,,,,,,,,,,,,,,,
1,46,K,DMSO,,,,,,,,,,,,,,,
1,47,K,DMSO,,,,,,,,,,,,,,,
1,48,K,DMSO,,,,,,,,,,,,,,,
1,1,L,DMSO,,,,,,,,,,,,,,,
1,2,L,DMSO,,,,,,,,,,,,,,,
